o,n,236,72
n,c,114,145
c,e,263,148
e, ,1499,131
 ,t,212,123
t,h,270,51
h,e,275,164
e,r,161,133
r,e,224,94
e, ,797,86
 ,w,287,122
w,a,307,115
a,s,465,54
s, ,317,108
 ,a,444,114
a, ,213,76
 ,c,223,119
c,a,537,94
a,t,414,107
t, ,274,101
 ,a,311,95
a,n,164,97
n,d,343,100
d, ,399,120
 ,a,505,91
a, ,549,114
 ,m,304,106
m,o,208,170
o,u,298,152
u,s,384,133
s,e,743,89
e,n,459,116
n, ,430,118
u,s,368,90
s,u,537,51
u,a,404,90
a,l,136,24
l,l,392,81
l,y,830,67
y, ,715,112
 ,c,150,97
c,a,359,115
a,t,190,60
t,s,350,103
s, ,318,98
 ,a,479,93
e,a,256,111
a,t,249,86
t, ,596,85
 ,m,274,97
m,i,209,55
i,c,159,126
c,e,705,104
e, ,209,124
 ,a,274,87
a,n,283,90
n,d,355,123
d, ,508,111
 ,m,322,128
m,i,248,80
i,c,319,130
c,e,522,117
e, ,661,111
 ,r,266,58
r,y,690,19
u,n,272,67
n, ,444,33
 ,a,289,103
a,w,71,92
w,a,258,113
a,y,928,93
y, ,682,120
 ,f,132,90
f,r,189,106
r,o,308,56
o,m,413,103
m, ,291,103
 ,c,79,89
c,a,227,125
a,t,222,62
t,s,684,55
s,n,389,129
n, ,242,128
b,u,365,71
u,t,1386,69
t, ,509,42
 ,t,222,94
t,h,178,155
h,i,179,98
i,s,192,86
s, ,316,78
 ,a,644,128
c,a,282,152
a,t,554,68
t, ,232,92
 ,a,215,78
a,n,138,74
n,d,196,99
d, ,229,90
 ,t,220,71
t,h,156,114
h,i,750,105
i,s,680,87
s, ,380,96
 ,m,253,99
m,o,126,154
o,u,233,123
u,s,425,46
s,e,340,96
e, ,294,106
 ,l,210,90
l,i,204,61
i,k,140,70
k,e,262,92
e,d,189,73
d, ,387,113
 ,e,122,221
e,a,310,149
a,c,236,59
c,h,264,77
h, ,625,98
 ,o,283,61
o,t,220,126
t,h,258,100
h,e,104,149
e,r,293,126
r, ,495,126
 ,v,157,75
v,e,218,70
e,r,278,58
r,y,338,60
y, ,505,72
 ,m,316,117
m,u,154,72
u,c,147,95
c,h,685,55
h,n,322,138
n, ,403,85
 ,t,146,75
t,h,204,92
h,e,381,80
e,y,357,125
y, ,444,76
 ,l,287,112
l,i,218,76
i,k,177,67
k,e,178,202
e,d,317,156
d, ,225,135
 ,e,133,169
e,a,258,140
a,c,281,109
c,h,1126,91
h, ,500,131
 ,o,244,117
o,t,219,142
t,h,213,80
h,e,122,157
e,r,222,61
r, ,941,145
 ,v,142,79
v,e,234,53
e,r,327,42
r,y,389,88
y, ,419,90
 ,m,314,74
m,u,201,74
u,c,204,92
c,h,300,110
h, ,105,47
 , ,149,34
 ,t,170,95
t,h,242,87
h,a,133,112
a,t,332,136
t, ,559,121
 ,t,164,106
t,h,205,90
h,e,298,42
e,y,692,103
y, ,657,112
 ,l,228,84
l,i,333,72
i,v,173,67
v,e,335,100
e,d,194,117
d, ,325,104
 ,t,185,83
t,o,367,87
o,g,149,67
g,e,241,69
e,t,157,66
t,h,180,77
h,e,109,148
e,r,578,115
j,a,158,82
a,k,102,54
k,e,131,92
e, ,301,55
 ,h,91,47
h,a,183,81
a,s,139,91
s, ,197,45
 ,a,219,107
a, ,363,65
 ,h,224,42
h,o,572,41
o,r,209,46
r,r,143,73
r,i,235,79
i,b,361,60
b,e,689,63
e,l,268,81
l,e,204,81
e, ,912,53
 ,t,112,105
t,e,123,96
e,m,188,75
m,p,154,59
p,e,83,138
e,r,185,117
r, ,741,76
 ,e,660,83
e,s,244,80
s,p,132,52
p,e,128,141
e,c,201,98
c,i,120,53
i,a,212,67
a,l,113,40
l,l,282,60
l,y,213,64
y, ,166,88
 ,w,159,98
w,h,264,17
h,h,140,72
h,e,173,98
e,n,229,48
n, ,355,61
e,n,185,72
n, ,230,97
 ,h,151,73
h,e,168,89
e, ,1141,87
 ,d,181,46
d,r,144,91
r,i,195,104
i,n,256,85
n,k,109,44
k,s,161,79
s, ,744,70
 ,a,832,85
a,l,379,58
l,c,445,87
c,o,406,67
o,h,143,70
h,o,189,55
o,l,702,68
l,n,236,102
n, ,439,73
 ,h,149,75
h,e,160,91
e, ,305,91
 ,g,111,51
g,e,167,65
e,t,158,59
t,s,260,75
s, ,477,79
 ,a,171,70
a,n,250,72
n,g,310,68
g,t,274,60
t,y,345,52
r,y,257,68
y, ,258,115
 ,a,135,81
a,n,145,83
n,d,149,124
d, ,568,128
 ,a,387,111
a,g,152,85
g,g,133,68
g,g,386,63
r,e,477,71
e,s,140,77
s,s,115,81
s,i,280,98
i,v,166,54
v,e,593,70
e, ,659,73
 ,w,149,100
w,h,151,63
h,e,151,110
e,n,176,71
n, ,191,57
 ,h,86,49
h,e,176,85
e, ,144,58
 ,s,401,64
h,e,261,93
e, ,456,71
 ,i,138,82
i,s,219,89
s, ,532,57
i,s,226,92
s, ,273,94
 ,d,299,65
d,r,153,64
r,u,194,56
u,n,306,75
n,k,1390,48
k,n,182,98
n, ,782,81
 ,h,172,48
h,e,618,70
e, ,1406,53
 ,s,96,130
s,a,254,100
a,v,145,56
v,e,562,65
e,g,569,47
g,e,888,104
a,g,127,48
g,e,172,79
e,l,303,67
l,y,256,55
y, ,2377,107
 ,b,110,54
b,e,97,122
e,a,135,85
a,t,186,34
t,s,216,77
s, ,362,35
 ,a,141,96
a,n,122,66
n,d,201,109
d, ,1515,46
 ,v,388,52
v,i,152,54
i,o,165,55
o,l,119,71
l,a,194,102
a,t,119,49
t,e,126,89
e,s,160,93
s, ,570,79
 ,h,136,128
h,i,123,89
i,s,199,96
s, ,508,84
 ,w,213,84
w,i,491,62
i,f,122,70
f,e,341,71
