 ,l,178,85
l,i,179,91
i,k,165,91
k,e,116,90
e, ,540,85
 ,r,172,85
r,e,259,85
e,a,1423,127
a,d,217,79
d,i,285,85
i,n,530,85
n,g,177,101
g, ,1970,58
 ,s,478,74
s,t,250,85
t,o,696,75
o,r,161,91
r,i,151,85
i,e,198,75
e,s,176,80
s, ,2226,69
f,a,248,101
a,i,320,85
i,r,2523,79
r,y,340,106
y,t,772,84
t,a,349,117
a,l,198,95
l,e,182,69
e,s,199,85
s, ,1392,74
 ,s,565,191
s,t,227,106
t,o,185,90
o,r,391,85
r,i,104,80
i,e,174,80
e,s,2733,96
 ,l,225,58
l,i,181,80
i,k,188,85
k,e,110,80
e, ,1368,74
 , ,210,80
 ,a,101,111
a,n,581,80
n,i,217,85
i,l,1275,79
m,a,565,138
a,l,203,91
l,s,119,85
s, ,1701,79
 ,s,153,85
s,o,138,80
o, ,177,100
 ,m,355,79
m,u,226,74
u,c,152,74
c,h,106,69
h, ,967,63
 ,n,6601,74
n, ,891,123
n, ,307,85
 ,l,213,106
l,o,1211,91
i,k,202,90
k,e,107,91
e, ,270,90
 ,s,1202,128
